branch	branch_descendants	Outgroup	AD2_Wild	GD2	LR1	PR_PR325	LR2	Cultivar	MK	PR_Ph	PR_CR	PR_Ph2	GD
b2	AD2_Wild	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b3	LR1,LR2,Cultivar,GD2,PR_PR325,MK,PR_Ph,PR_CR,PR_Ph2,GD	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b4	GD2,PR_PR325,MK,PR_Ph,PR_CR,PR_Ph2,GD	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b5	LR1,LR2,Cultivar	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b6	PR_PR325,MK,PR_Ph,PR_CR,PR_Ph2,GD	nan	0	nan	0	nan	0	0	nan	nan	nan	nan	nan
b7	GD2	nan	0	nan	0.295649	nan	0.115331	0.0942217	nan	nan	nan	nan	nan
b8	LR1	nan	0.0063463	0.0616838	nan	0.0478283	nan	nan	0	0.0066359	0.00779865	0	0
b9	LR2,Cultivar	nan	0	0	nan	0	nan	nan	0	0	0	0	0
b10	MK,PR_Ph,PR_CR,PR_Ph2,GD	nan	0	0	0	nan	0	0	nan	nan	nan	nan	nan
b11	PR_PR325	nan	0	0	0.360324	nan	0.201426	0.170212	nan	nan	nan	nan	nan
b12	LR2	nan	0	0	0.0844052	0	nan	nan	0	0	0	0	0
b13	Cultivar	nan	0	0	0	0	nan	nan	0	0	0	0	0
b14	PR_Ph,PR_CR,PR_Ph2,GD	nan	0	0	0	0.740706	0	0	nan	nan	nan	nan	nan
b15	MK	nan	0	0	0	0	0	0	nan	nan	nan	nan	nan
b16	PR_CR,PR_Ph2,GD	nan	0	0	0	0	0	0	0	nan	nan	nan	nan
b17	PR_Ph	nan	0	0	0.203882	0	0.135083	0.122594	0	nan	nan	nan	nan
b18	PR_Ph2,GD	nan	0	1	0	0	0	0	0.415492	0	nan	nan	nan
b19	PR_CR	nan	0	0	0.176053	0	0.111402	0.0969871	0	0	nan	nan	nan
b20	PR_Ph2	nan	0	0	0.0784483	0	0.0539853	0.045239	0	0	0	nan	nan
b21	GD	nan	0	0	0	0	0	0	0.28607	0	0	nan	nan
